1;10;30;73
2;9;25;4
3;5;4;33
4;5;3;28
5;3;3;3
6;3;8;91
7;8;22;98
8;4;1;43
9;8;6;65
10;6;6;85
11;4;17;98
12;4;27;32
13;8;22;100
14;6;9;1
15;0;30;19
16;1;30;3
17;10;9;71
18;3;11;83
19;3;28;2
20;2;7;5
21;4;27;52
22;7;14;16
23;7;13;8
24;0;1;21
25;9;23;82
26;6;10;64
27;0;14;76
28;7;7;20
29;1;11;6
30;0;29;45
31;9;8;36
32;8;6;9
33;9;29;45
34;0;18;43
35;1;22;10
36;4;18;70
37;2;2;56
38;7;12;96
39;7;6;87
40;3;27;68
41;8;4;86
42;6;13;15
43;8;15;89
44;10;21;65
45;7;16;28
46;4;20;35
47;0;2;33
48;10;25;81
49;3;29;19
50;2;13;87
